iter,HIDDEN_WIDTH,DEPTH_PER_BLOCK,NUM_BLOCKS,LR,WEIGHT_DECAY,best_val
1,256,4,4,0.001,1e-05,0.15251418283961193
2,256,4,4,0.001,1e-06,0.15847755352959284
3,512,2,4,0.0005,1e-05,0.15682504446101575
4,256,2,4,0.0005,1e-05,0.155758489904416
5,256,2,4,0.001,1e-06,0.16153916850228103
6,256,2,4,0.0005,1e-06,0.15668217455753425
