feature,delta_mse
0,-0.01606331765651703
1,0.004597663879394531
2,-0.01429477334022522
3,-0.013930395245552063
4,-0.008697733283042908
5,-0.012638077139854431
6,-0.012821808457374573
7,-0.015458449721336365
8,-0.01594376564025879
9,-0.016883715987205505
10,-0.016082271933555603
11,-0.016465872526168823
12,0.4897552728652954
