iter,HIDDEN_WIDTH,DEPTH_PER_BLOCK,NUM_BLOCKS,LR,WEIGHT_DECAY,best_val
1,128,3,4,0.001,1e-05,0.07720789737913704
2,128,3,4,0.001,1e-06,0.0806699796273171
3,256,2,4,0.0005,1e-05,0.07990500465068896
4,128,2,4,0.0005,1e-05,0.07887639286827244
5,128,2,4,0.001,1e-06,0.08168395627901656
6,128,2,4,0.0005,1e-06,0.08085201244352742
