feature,delta_mse,delta_mse_%,base_mse
Temperature (C)_normalized,0.6244490470255221,918.5016331882643,0.06798562185000812
doy_cos,0.08365947714505689,123.05466195430101,0.06798562185000812
h_sin,0.025146430830355948,36.98786617828509,0.06798562185000812
h_cos,0.018649880023876533,27.432094487599816,0.06798562185000812
Daily Summary_normalized,0.009083810096923939,13.361369433326518,0.06798562185000812
wind_bearing_cos,0.006618055872307571,9.734493400543604,0.06798562185000812
Summary_normalized,0.003565234636326964,5.244100942685631,0.06798562185000812
doy_sin,0.0019680381536383296,2.8947858386590526,0.06798562185000812
dow_cos,0.0015627346345289533,2.2986251975111807,0.06798562185000812
Humidity,0.0014143098682089794,2.0803073204644233,0.06798562185000812
wind_bearing_sin,0.001325727558825207,1.9500116682760753,0.06798562185000812
dow_sin,0.0010641698226010604,1.5652865909631057,0.06798562185000812
tz_offset_hours,0.0009145986099541592,1.3452824068771094,0.06798562185000812
Precip Type_normalized,0.00037154446583666234,0.5465044751026543,0.06798562185000812
trend,0.0001119250745844208,0.1646305079496856,0.06798562185000812
