iter,HIDDEN_WIDTH,DEPTH_PER_BLOCK,NUM_BLOCKS,LR,WEIGHT_DECAY,best_val
1,256,4,4,0.001,1e-05,0.1535118212786458
2,256,4,4,0.001,1e-06,0.1582504957457421
3,512,2,4,0.0005,1e-05,0.1591949142145441
4,256,2,4,0.0005,1e-05,0.15461346206951493
5,256,2,4,0.001,1e-06,0.16049315119460117
6,256,2,4,0.0005,1e-06,0.15640084003602947
