class,precision,recall,f1,support
Partly Cloudy,0.560510,0.398108,0.465552,4863
Mostly Cloudy,0.496931,0.496322,0.496626,4894
Overcast,0.548732,0.367409,0.440127,2651
Clear,0.187334,0.556650,0.280327,1015
Foggy,0.776946,0.992352,0.871537,1046
