true,pred,count
Partly Cloudy,Clear,1623
Mostly Cloudy,Overcast,1437
Mostly Cloudy,Partly Cloudy,810
Mostly Cloudy,Clear,747
Partly Cloudy,Mostly Cloudy,733
Partly Cloudy,Overcast,725
Overcast,Mostly Cloudy,602
Overcast,Clear,261
Clear,Overcast,182
Clear,Foggy,131
Clear,Partly Cloudy,104
Overcast,Partly Cloudy,94
Clear,Mostly Cloudy,65
Overcast,Foggy,59
Mostly Cloudy,Foggy,38
Partly Cloudy,Foggy,32
Foggy,Overcast,6
Foggy,Clear,1
