,Partly Cloudy,Mostly Cloudy,Overcast,Clear,Foggy
Partly Cloudy,0.359860,0.150730,0.149085,0.333745,0.006580
Mostly Cloudy,0.165509,0.380466,0.293625,0.152636,0.007765
Overcast,0.035458,0.227084,0.616748,0.098453,0.022256
Clear,0.102463,0.064039,0.179310,0.525123,0.129064
Foggy,0,0,0.005736,0.000956,0.993308
