,Partly Cloudy,Mostly Cloudy,Overcast,Clear,Foggy
Partly Cloudy,1750,733,725,1623,32
Mostly Cloudy,810,1862,1437,747,38
Overcast,94,602,1635,261,59
Clear,104,65,182,533,131
Foggy,0,0,6,1,1039
