class,precision,recall,f1,support
Partly Cloudy,0.634518,0.359860,0.459257,4863
Mostly Cloudy,0.570815,0.380466,0.456596,4894
Overcast,0.410289,0.616748,0.492767,2651
Clear,0.168404,0.525123,0.255024,1015
Foggy,0.799846,0.993308,0.886141,1046
