epoch,train_loss,val_MAE,val_RMSE
1,0.053020351202016085,0.1994308528157919,0.25748560636145623
2,0.03181437798257777,0.19456747726032678,0.2522431993521676
3,0.03090466876385592,0.1888530598100468,0.24397454440154331
4,0.030337549565757287,0.18858151643124796,0.24495174302100325
5,0.029552728636627126,0.18427165837439322,0.2379386487039588
6,0.029020190675061997,0.18809941517485415,0.24238351474985848
7,0.029324063085193322,0.18531053488995422,0.24222516812445388
8,0.028245004044074717,0.18505438617666956,0.2390358063141753
9,0.02742437710083313,0.1895326886284882,0.24133896724188128
10,0.02653954222754193,0.18919843442469775,0.24571104190962695
11,0.02530011680450786,0.18580722543937747,0.24326310911156956
12,0.02536532239440231,0.18655030381622076,0.2436245289138197
13,0.02400626361206116,0.18770071606410269,0.24580032922811268
14,0.02340040612638435,0.1830640253844598,0.2394050374175051
15,0.02300825545691266,0.18406742266193138,0.24046688929711382
16,0.02249651676991693,0.18671702833327078,0.24352767554869353
17,0.02238037879406117,0.1834724175505845,0.23771776465542227
18,0.022130460284911925,0.1873107806697323,0.24512352866865536
19,0.021710194692576124,0.18387894222984444,0.24089522400793287
20,0.023581364014590597,0.2017063607794724,0.259252717373626
21,0.023255653142305144,0.1835657700976536,0.2389008208648794
22,0.021264926873422844,0.1839954719551569,0.23947558724613205
23,0.020925053333841818,0.18235291241501017,0.23850916032416644
24,0.020653196977142862,0.18143619327833135,0.2362746181452886
25,0.02040444831454135,0.17921537547450178,0.2343655342559893
26,0.0206407566059964,0.18630992748986097,0.24195866103817187
27,0.020781104202597243,0.18093626873754123,0.23673312115895703
28,0.01980739353052843,0.18251061559500828,0.2388529520865233
29,0.019565104757165174,0.18160795533001373,0.23786053993494408
30,0.019363875778238247,0.18176526999825082,0.23755560787872582
31,0.018834314931190376,0.1840953681779577,0.23988904344112838
32,0.01855451645083139,0.1830721274757642,0.23954886727421623
33,0.01840717572442172,0.18457311159461898,0.24016832269417654
34,0.018123115261983316,0.18682597627002998,0.24401348756601426
35,0.017835087216854693,0.18429266406011405,0.24139048838061114
