feature,delta_mse,delta_mse_%,base_mse
Temperature (C)_normalized,0.5552587269975535,795.7850304348027,0.06977496506740898
doy_cos,0.08329786301294874,119.38073051340893,0.06977496506740898
h_sin,0.030946872482265006,44.35240125504543,0.06977496506740898
h_cos,0.026019027385021112,37.28991818180684,0.06977496506740898
wind_bearing_cos,0.008610157337360688,12.3398948735302,0.06977496506740898
Daily Summary_normalized,0.006746072691208929,9.66832829610392,0.06977496506740898
Summary_normalized,0.004090574459433394,5.862524553730018,0.06977496506740898
Precip Type_normalized,0.003811249888465207,5.462202503122993,0.06977496506740898
wind_bearing_sin,0.0019614917468964432,2.811168368198341,0.06977496506740898
dow_cos,0.0018030702314984492,2.584122012467536,0.06977496506740898
doy_sin,0.0016205656187205791,2.3225602723770127,0.06977496506740898
dow_sin,0.0011049472935207166,1.58358702502142,0.06977496506740898
tz_offset_hours,0.0007381284781429742,1.0578700790890756,0.06977496506740898
Humidity,0.0004891489049272807,0.701037835640216,0.06977496506740898
trend,-8.604991914434867e-07,-0.0012332491898952096,0.06977496506740898
