epoch,train_loss,val_loss,val_mae,val_rmse,lr
1,0.036212241682330615,0.026157420422244178,0.20239567756652832,0.2615635254998197,0.0006999309152945763
2,0.028694330145896393,0.025191592707021815,0.19749607145786285,0.25579935199716614,0.0006997236914811404
3,0.027042522372407767,0.023311741482298653,0.1901511698961258,0.24667382373017102,0.0006993784194549056
4,0.026514385873096364,0.024305216909327486,0.1956975907087326,0.2523436366219753,0.0006988952506635939
5,0.025441334721497226,0.02386556956329727,0.19066712260246277,0.2501072206645703,0.0006982743970410061
6,0.025326909365857603,0.022891462138677772,0.18720868229866028,0.2448136703598605,0.0006975161309140605
7,0.02437374736573405,0.02237558939183752,0.1836467981338501,0.24183063980040145,0.0006966207848833413
8,0.02366731610888516,0.022875640289606276,0.18753720819950104,0.2447047848765448,0.000695588751677209
9,0.022927765123091127,0.02303285864475477,0.18595023453235626,0.2458482532028175,0.0006944204839795368
10,0.022391503726537445,0.02488067074099908,0.19695311784744263,0.2558123421574154,0.0006931164942311487
11,0.02118450251784716,0.024484372748112358,0.19368033111095428,0.2537109504212221,0.0006916773544050454
12,0.020183792318224567,0.024479191368529656,0.19042329490184784,0.2533979610122851,0.0006901036957555187
13,0.018976181345629214,0.024936993702876945,0.19469989836215973,0.2566617077393822,0.0006883962085412622
14,0.01767701831937746,0.026447120089050348,0.19826540350914001,0.2635254630031631,0.000686555641722601
15,0.01641399925930127,0.02625634814906228,0.1979994773864746,0.26283984834620927,0.0006845828026329733
16,0.015263908098359372,0.026458451683792444,0.20118947327136993,0.26358612926888525,0.0006824785566248065
17,0.014393306834950248,0.027218399997297173,0.20328618586063385,0.26711033214253677,0.0006802438266899457
18,0.013438437629903432,0.02636488454064002,0.20016513764858246,0.26341444093326477,0.0006778795930547991
19,0.012597047896231062,0.027074071863951447,0.20207273960113525,0.2665820411549651,0.0006753868927503776
20,0.011938897412952804,0.027413158090197825,0.20246435701847076,0.26822540904008674,0.0006727668191574192
21,0.01128727252922156,0.026721940568841255,0.20030751824378967,0.26488872472535646,0.000670020521526796
22,0.010849918958638575,0.02700450816737102,0.20175550878047943,0.2662782210406194,0.0006671492044754149
23,0.010434686810574459,0.026766752698332875,0.20051899552345276,0.2648081702129809,0.0006641541274578324
