iter,HIDDEN_WIDTH,DEPTH_PER_BLOCK,NUM_BLOCKS,LR,WEIGHT_DECAY,best_val
1,128,3,4,0.001,1e-05,0.1864402181068375
2,128,3,4,0.001,1e-06,0.17974167229036928
3,256,2,4,0.0005,1e-05,0.1743385493734571
4,128,2,4,0.0005,1e-05,0.1918356926966747
5,128,2,4,0.001,1e-06,0.18220295269176998
6,128,2,4,0.0005,1e-06,0.18655564236073088
