,Cloudy & Humid,Fog / Rain (Low Visibility),Windy / Breezy,Warm & Dry,Windy & Foggy
Cloudy & Humid,0.965364,0.022990,0.005034,0.006612,0
Fog / Rain (Low Visibility),0.002844,0.994313,0,0,0.002844
Windy / Breezy,0,0.009901,0.970297,0.009901,0.009901
Warm & Dry,0,0,0,1,0
Windy & Foggy,0,0,0,0,1
