true,pred,count
Cloudy,Rainy,32
Rainy,Cloudy,27
Sunny,Cloudy,19
Sunny,Rainy,17
Cloudy,Sunny,15
Snowy,Sunny,15
Snowy,Rainy,13
Rainy,Snowy,11
Rainy,Sunny,11
Snowy,Cloudy,11
Sunny,Snowy,9
Cloudy,Snowy,8
