class,precision,recall,f1,support
Cloudy,0.880753,0.884454,0.882600,476
Rainy,0.884972,0.906844,0.895775,526
Snowy,0.940043,0.918410,0.929101,478
Sunny,0.917339,0.910000,0.913655,500
