epoch,train_loss,val_loss,val_mae,val_rmse,lr
1,0.025114010573357683,0.029740879756843183,0.21791082620620728,0.2785490200571911,0.0006999309152945763
2,0.01124167428103112,0.026745480896384868,0.20605313777923584,0.26462788519640157,0.0006997236914811404
3,0.007148757089953159,0.028645667155180965,0.21412670612335205,0.2740239258243182,0.0006993784194549056
4,0.005602956947671491,0.02737003781304166,0.2090648114681244,0.2676859728805015,0.0006988952506635939
5,0.005139353545560352,0.0276927105612583,0.21060219407081604,0.26937762318902714,0.0006982743970410061
6,0.004793188974566986,0.026868363917880767,0.206849604845047,0.2649173426149002,0.0006975161309140605
7,0.004419493773785057,0.026531387464487338,0.20616669952869415,0.2635550911440768,0.0006966207848833413
8,0.004393410868498405,0.02785814188521456,0.21170854568481445,0.2695090519706599,0.000695588751677209
9,0.004142328893733815,0.02825260115367872,0.21348053216934204,0.2714900832639545,0.0006944204839795368
10,0.004127158840250878,0.02725302619305817,0.2094772309064865,0.26647971586182206,0.0006931164942311487
11,0.003911916925020886,0.027362518872528732,0.2098791003227234,0.26730318632349587,0.0006916773544050454
12,0.0038753598066444957,0.02648494355716147,0.20525550842285156,0.26287026234364985,0.0006901036957555187
13,0.0038472184451929657,0.027072109500164383,0.2083570510149002,0.2654797072503992,0.0006883962085412622
14,0.003624806736012963,0.028048282808011717,0.21205535531044006,0.270339252272679,0.000686555641722601
15,0.0035312166499713335,0.026958872429892287,0.2074204683303833,0.26494868514920195,0.0006845828026329733
16,0.003571980160070967,0.02683419187611959,0.20629830658435822,0.26467008607726994,0.0006824785566248065
17,0.0034538562549989073,0.026735850735693366,0.20693156123161316,0.26413090626783226,0.0006802438266899457
18,0.003330751662569135,0.027524974566322188,0.20994283258914948,0.2679663160341456,0.0006778795930547991
19,0.0032176011226865116,0.026927468098431558,0.20766647160053253,0.2650400902454799,0.0006753868927503776
20,0.0032529805139069738,0.027140336639776424,0.20894958078861237,0.26605698576256437,0.0006727668191574192
21,0.003160602862338841,0.02746197557798377,0.20981380343437195,0.26811055304546755,0.000670020521526796
22,0.0030387753944218386,0.02689507502122774,0.20743624866008759,0.26434728513239547,0.0006671492044754149
23,0.0029793553141422057,0.027236648012993036,0.20974288880825043,0.2668336689321666,0.0006641541274578324
24,0.0028996589746439956,0.026954151438297453,0.20801983773708344,0.26523453399248936,0.0006610366042138168
25,0.002931810081456539,0.026536638563213585,0.20574794709682465,0.26284602780296784,0.000657798002192098
26,0.0028275904700671897,0.026625435446967948,0.20650258660316467,0.26333183685513306,0.0006544397419505594
27,0.002720933550620409,0.026531573850661516,0.2052573412656784,0.2630988924253647,0.0006509632965331346
28,0.002788299572021338,0.026804926238853385,0.20716510713100433,0.2641852855187967,0.0006473701908236812
