h,MAE_z,RMSE_z,MAE_C,RMSE_C
1,0.11748979240655899,0.1486046314239502,1.1590672731399536,1.4660232067108154
2,0.13921590149402618,0.176674947142601,1.3734009265899658,1.7429442405700684
3,0.15844769775867462,0.20115715265274048,1.5631275177001953,1.9844675064086914
4,0.1740546077489853,0.22205571830272675,1.7170937061309814,2.1906371116638184
5,0.18509352207183838,0.23652571439743042,1.825995683670044,2.333387613296509
6,0.194541797041893,0.24956491589546204,1.9192054271697998,2.462022542953491
7,0.2019565999507904,0.25900954008102417,1.9923545122146606,2.5551962852478027
8,0.20758216083049774,0.2668860852718353,2.047852039337158,2.6329002380371094
9,0.2138693481683731,0.2737363278865814,2.1098766326904297,2.7004799842834473
10,0.215659961104393,0.2770015597343445,2.1275415420532227,2.732692003250122
11,0.2192729264497757,0.28058892488479614,2.16318416595459,2.768082618713379
12,0.22117719054222107,0.2823966145515442,2.1819703578948975,2.7859158515930176
13,0.2205534279346466,0.28320035338401794,2.175816774368286,2.793844699859619
14,0.22166073322296143,0.28444287180900574,2.1867406368255615,2.806102752685547
15,0.2221895456314087,0.2855169177055359,2.191957473754883,2.8166985511779785
16,0.22263306379318237,0.28622886538505554,2.196333169937134,2.8237221240997314
17,0.22421477735042572,0.28802490234375,2.2119369506835938,2.841440439224243
18,0.22497893869876862,0.2891511917114258,2.219475507736206,2.8525514602661133
19,0.22573493421077728,0.29053351283073425,2.226933717727661,2.8661885261535645
20,0.2240845412015915,0.28983020782470703,2.2106521129608154,2.859250068664551
21,0.22642618417739868,0.292334645986557,2.233753204345703,2.8839571475982666
22,0.2251250445842743,0.2918758988380432,2.220916986465454,2.8794314861297607
23,0.2266150712966919,0.2943122088909149,2.2356162071228027,2.90346622467041
24,0.2297014743089676,0.29789412021636963,2.2660646438598633,2.938802480697632
25,0.23710434138774872,0.30551469326019287,2.3390958309173584,3.013981819152832
26,0.2456345111131668,0.31377682089805603,2.423248291015625,3.095489740371704
27,0.2546292841434479,0.3236580193042755,2.511983871459961,3.1929702758789062
28,0.25880661606788635,0.3284992277622223,2.553194522857666,3.2407302856445312
29,0.2648552656173706,0.3353743553161621,2.612866163253784,3.3085548877716064
30,0.2658444344997406,0.3373880386352539,2.622624397277832,3.328420400619507
31,0.2688899040222168,0.341545045375824,2.6526687145233154,3.3694303035736084
32,0.27145570516586304,0.34485766291618347,2.677980899810791,3.4021098613739014
33,0.27374568581581116,0.34810394048690796,2.7005717754364014,3.434135675430298
