epoch,train_loss,val_loss,val_mae,val_rmse,lr
1,0.058256752058429624,0.05835332797084114,0.3070092499256134,0.39131245203022463,0.0006999309152945763
2,0.038093724416442286,0.061603151815067425,0.3167276680469513,0.4019162212072492,0.0006997236914811404
3,0.026853035730354993,0.06724331336151256,0.33299005031585693,0.42031249574569074,0.0006993784194549056
4,0.02087607980859511,0.06922409558982247,0.33812031149864197,0.4265469831222486,0.0006988952506635939
5,0.017278441669220483,0.06952363570764808,0.3387433886528015,0.4271589266549242,0.0006982743970410061
6,0.015067263772186723,0.06759366027937078,0.3347274363040924,0.42093711374402465,0.0006975161309140605
7,0.013907328452372435,0.06765823667444805,0.3346286416053772,0.42058799606390584,0.0006966207848833413
8,0.012576620089052951,0.06644071748314223,0.33159101009368896,0.4171839145977811,0.000695588751677209
9,0.011749954881526312,0.0671444648673924,0.3340824544429779,0.4188530026621829,0.0006944204839795368
10,0.010976786855427386,0.06615540062510732,0.33173343539237976,0.4159777449434232,0.0006931164942311487
11,0.010321832560364482,0.06469293242080672,0.325467586517334,0.4114443217278002,0.0006916773544050454
12,0.00990323720554125,0.06541689491766219,0.32758092880249023,0.4137998503650157,0.0006901036957555187
13,0.009452546391527629,0.06485938655194079,0.32560035586357117,0.41222900534493145,0.0006883962085412622
14,0.008915214028968972,0.0642307674475383,0.32511231303215027,0.4097624204963064,0.000686555641722601
15,0.008641456189628654,0.06361663052904429,0.32378649711608887,0.407223013077963,0.0006845828026329733
16,0.009104072804409034,0.065759054007064,0.32845914363861084,0.4144047276519482,0.0006824785566248065
17,0.008884515201908003,0.0651611425166968,0.3272620737552643,0.4128581832800977,0.0006802438266899457
