epoch,train_loss,val_loss,val_mae,val_rmse,lr
1,0.05814329570213568,0.05801532542019492,0.3059106171131134,0.39013813195193436,0.0006999309152945763
2,0.037815178431642865,0.06079539226939772,0.3134453296661377,0.39887460406028824,0.0006997236914811404
3,0.02679396856178358,0.06572023308882029,0.3285452127456665,0.41522097920353174,0.0006993784194549056
4,0.020810163729977838,0.0704387020098396,0.3420003354549408,0.4295017014126723,0.0006988952506635939
5,0.01726287461419418,0.06835475611952271,0.33576667308807373,0.42300558478702055,0.0006982743970410061
6,0.01512000244291662,0.0689651740364509,0.3375818729400635,0.42434565857030276,0.0006975161309140605
7,0.013630196904239146,0.06841576522640368,0.33406683802604675,0.4224956856174378,0.0006966207848833413
8,0.012561523058967104,0.06685265406302296,0.33213576674461365,0.41747036748790206,0.000695588751677209
9,0.011693577971128584,0.06856872112776088,0.3368169963359833,0.4233494529821507,0.0006944204839795368
10,0.010962759365228194,0.06570449378341436,0.32762596011161804,0.41432902916843667,0.0006931164942311487
11,0.010297904709733805,0.0645860229978467,0.32483381032943726,0.41056019101747215,0.0006916773544050454
12,0.009760489401597421,0.06497237401654815,0.32632187008857727,0.4114813335444632,0.0006901036957555187
13,0.009406255699187807,0.06647033469364194,0.33061763644218445,0.41671043007222097,0.0006883962085412622
14,0.008931444840306797,0.06517121730612056,0.3267953097820282,0.4123525760655741,0.000686555641722601
15,0.008581371141543377,0.06492478719515966,0.3263266086578369,0.41169964277313575,0.0006845828026329733
16,0.008326233259754852,0.06608634691980511,0.32941046357154846,0.4147562477085029,0.0006824785566248065
17,0.008190852342155374,0.06566815013711405,0.32889482378959656,0.4138893809180496,0.0006802438266899457
