true,pred,count
Mostly Cloudy,Partly Cloudy,1579
Mostly Cloudy,Overcast,1072
Overcast,Mostly Cloudy,751
Partly Cloudy,Mostly Cloudy,746
Partly Cloudy,Overcast,617
Overcast,Partly Cloudy,312
