feature,delta_mse,delta_mse_%,base_mse
doy_cos,0.13703549477201138,183.83831603363524,0.07454131311066797
Temperature (C)_normalized,0.1201876370453554,161.23627560319267,0.07454131311066797
Apparent Temperature (C)_normalized,0.10832650654814821,145.32411897187933,0.07454131311066797
h_sin,0.02074641319047872,27.83210051542492,0.07454131311066797
h_cos,0.020223898170583593,27.13112678945986,0.07454131311066797
Humidity_normalized,0.01621780556795216,21.75680155228061,0.07454131311066797
wind_bearing_cos,0.010747409163977123,14.41805720275004,0.07454131311066797
Pressure (millibars)_normalized,0.009288616732727406,12.461031802508007,0.07454131311066797
Wind Speed (km/h)_normalized,0.006906823927388964,9.26576637727689,0.07454131311066797
Visibility (km)_normalized,0.004804855735193028,6.445896288491035,0.07454131311066797
doy_sin,0.0031944094700935427,4.285421515651265,0.07454131311066797
Precip Type_normalized,0.003074081545884566,4.123997039494894,0.07454131311066797
wind_bearing_sin,0.002561043307066538,3.4357367749401964,0.07454131311066797
Summary_Overcast,0.002410582945849407,3.2338884911653336,0.07454131311066797
Summary_Partly Cloudy,0.0012118945049760799,1.6258024636309227,0.07454131311066797
Summary_Clear,0.0008964567597698758,1.2026307591857803,0.07454131311066797
Summary_Foggy,0.0008448301476976644,1.1333717001247146,0.07454131311066797
Summary_Mostly Cloudy,0.0004441236229287826,0.5958086923816505,0.07454131311066797
trend_normalized,7.900321419654355e-05,0.10598580961305472,0.07454131311066797
dow_sin,-0.00292433280666711,-3.9231034236350126,0.07454131311066797
dow_cos,-0.0029981543171690578,-4.022137781122583,0.07454131311066797
